url,До центра деревни,До аэропорта,До ж/д вокзала,До Байкала,features,description,До центра города,До канатной дороги,До лыжной трассы,nearest_site,Расположение,Обслуживание,Цена/качество,Чистота,Питание,Качество сна,Год открытия,До центра села,До центра поселка,До Залива Мухор,До залива Ангарский сор
https://101hotels.com/main/cities/baikalsk/gostinitsa_priboy.html,,84600.0,5600.0,169.0,"['Интернет', 'Бар / Ресторан', 'Автостоянка / Парковка', 'Прачечная или Химчистка', 'Трансфер', 'Бассейн', 'Бизнесменам', 'Сауна / SPA', 'Размещение домашних животных возможно по запросу.']","Отель предлагает гостям:
Размещение в самом центре
Есть парковка
Доступен трансфер (за дополнительную плату)
Бесплатный Wi-Fi
Рядом с отелем есть:
Ухо Байкала
Гарантируем лучшие цены в отеле Прибой!
Уютный отель ""Прибой"" находится в городе Байкальске, на берегу озера Байкал.
Отель ""Прибой"" предлагает своим клиентам размещение в комфортабельных номерах, обставленных деревянной мебелью. В каждом номере есть телевизор и бесплатный Wi-Fi.
Более того, на территории отеля круглосуточно работает прекрасный ресторан, где можно попробовать невероятно вкусные блюда, по доступным ценам.
К услугам гостей будет предоставлена вся инфраструктура отеля. При желании постояльцы могут посетить сауну или турецкую баню.
Гости могут за дополнительную плату заказать трансфер, на котором дорога до аэропорта займет примерно 3 часа. Всего в 200 метрах расположен крытый плавательный бассейн.",1500.0,2000.0,2200.0,Ухо Байкала,8.9,8.7,8.9,9.1,7.9,9.1,,,,,
https://101hotels.com/main/cities/bolshoe_goloustnoe/kemping_russkoe_podvore.html,,76300.0,45400.0,1800.0,"['Бар / Ресторан', 'Прачечная или Химчистка', 'Автостоянка / Парковка', 'Трансфер', 'Бассейн', 'Бизнесменам', 'Сауна / SPA', 'Размещение домашних животных возможно по запросу.']","База отдыха предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Доступен трансфер (за дополнительную плату)
Рядом с отелем есть:
Сухое озеро
Гарантируем лучшие цены в кемпинге Русское Подворье!
В поселке Большое Голоустное находится гостевой дом «Русское Подворье». В окрестностях можно заняться рыбалкой, покататься на лошадях или велосипеде, взяв его напрокат. Дополнительно предоставлены различные услуги: караоке, настольный теннис и бадминтон.
Проживание организовано как в благоустроенных номерах, так и в деревянных домиках из натуральных и экологически чистых материалов. Здесь понравится каждому туристу.
На территории оборудована площадка для проведения барбекю и
В нескольких минутах ходьбы - Сухое озеро и Свято-Никольская церковь. До ближайшего аэропорта 76 км, а до железнодорожного вокзала около 82 км езды.",,,,Сухое озеро,8.5,9.1,9.8,9.3,8.7,8.7,2008.0,,500.0,,
https://101hotels.com/main/cities/huzhir/gostevoy_dom_na_festivalnoy_1.html,,,,,"['Автостоянка / Парковка', 'Сауна / SPA', 'Размещение домашних животных возможно по запросу.']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Рядом с отелем есть:
Краеведческий музей им. Н. М. Ревякина
Гарантируем лучшие цены в гостевом доме На Фестивальной!
Set in Khuzhir, Гостевой дом на Фестивальной offers a terrace.
Private parking can be arranged at an extra charge.
At the guest house, every room is fitted with a wardrobe.
The rooms will provide guests with a fridge.",,,,Краеведческий музей им. Н. М. Ревякина,,,,,,,,,600.0,,
https://101hotels.com/main/cities/buguldeyka/dom_na_baykale_1.html,,,,,['Размещение домашних животных возможно по запросу.'],"Отель предлагает гостям:
Размещение в самом центре
Гарантируем лучшие цены в отеле Дом на Байкале!
Дом для отпуска «Дом на Байкале» с террасой расположен в поселке Бугульдейка.
В распоряжении гостей 1 ванная комната.",,,,,,,,,,,,,0.0,,
https://101hotels.com/main/cities/kurma/gostevoy_dom_usadba_dorofeeva.html,1200.0,,,,"['Интернет', 'Прачечная или Химчистка', 'Автостоянка / Парковка', 'Трансфер', 'Сейф', 'Сауна / SPA']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Доступен трансфер (за дополнительную плату)
Бесплатный Wi-Fi
Гарантируем лучшие цены в гостевом доме Усадьба Дорофеева!
Апартаменты «Гостевой дом ""Усадьба Дорофеева""» расположены в деревне Курма Иркутской области.
К услугам гостей бесплатная частная парковка.
Все апартаменты оснащены телевизором с плоским экраном и стиральной машиной.
В распоряжении гостей терраса, полностью оборудованная кухня с холодильником, гостиный уголок и собственная ванная комната с душем и феном.
В числе удобств плита и чайник.
Дети весело проведут время на игровой площадке.
Предоставляются принадлежности для барбекю.
Поблизости можно заняться рыбной ловлей.",,,,,,,,,,,,,,,
https://101hotels.com/main/cities/bolshoe_goloustnoe/cottage_baikalskaya_podkova.html,,76700.0,45400.0,1700.0,['Автостоянка / Парковка'],"Коттедж предлагает гостям:
Размещение в самом центре
Есть парковка
Рядом с отелем есть:
Сухое озеро
Гарантируем лучшие цены в коттедже Байкальская подкова!
Коттедж ""Байкальская подкова"" располагается в тихом и живописном уголке в поселке Большое Голоустное, Иркутской области. Гостям, прибывшим на личном автомобиле, готовы предложить парковку. Это место идеально подойдет для семейного загородного отдыха.
Для размещения подготовлены уютные деревянные коттеджи с необходимыми удобствами. Ванная комната располагает стандартным набором сантехники. Из окон открывается вид на местность.
Проявить кулинарные способности и приготовить не хитрую еду постояльцы смогут на оборудованной кухне. Так же на улице есть место для пикника.
В 2 км пути находится главная достопримечательность - Церковь Святого Николая с часовней. Желающие осмотреть окрестности могут взять на прокат велосипед или совершить пеший поход. Расстояние до аэропорта Иркутска составляет около 120 км.",,,,Сухое озеро,9.1,9.1,9.1,9.1,8.7,8.7,,,200.0,,
https://101hotels.com/main/cities/enheluk/baza_otdiha_baykalskaya_solyanka_1.html,,83100.0,83600.0,433.0,"['Бар / Ресторан', 'Бильярдная', 'Бизнесменам']","На живописном берегу озера Байкал расположился комплекс отдыха «Теремки», в п. Энхалук. В распоряжении гостей уютные двухэтажные дома из сибирского дерева, вместимостью около 100 человек. На каждом этаже расположены спальные места с одноместными или двухместными кроватями, также в номерах есть столы и стулья, прикроватные тумбы и вешалки, постельные принадлежности, электрические чайники, санузел совмещен с душевой (раковина, зеркало). На территории зоны отдыха расположено кафе «Альбатрос», где 3-х разовое питание. Помимо кафе на базе можно приготовить еду самостоятельно в мангальной зоне, в которой есть необходимая техника — плиты и чайники, кухонная посуда. Русская банька с парилкой и бильярдом не оставит никого равнодушным. Зачем приезжают на Байкал? За яркими впечатлениями и эмоциями, за активными выходными в тихом уголке. На базе разработаны маршруты экскурсий, главной из которых является «Бухта Ая». В утесе находятся древние пещеры, примерный возраст которых около 20 млн лет: «Октябрьская», «Ая», «Рядовая», «Вологодская», «Случайная». Самая известная из них - «Ая», с наскальными рисунками возраста 2,5 тысячи лет, на которых изображены фигуры охотников и шаманов, рыбы и животных. Еще одна запоминающаяся экскурсия к «Белой скале» - место сказаний и легенд. Посетив «Белую скалу», Вы прикоснетесь к истории и легендам Ак-Каи. Не менее популярен тур одного дня на «Малое море». Туристы смогут полюбоваться пляжами, местами поклонения, изумительными пейзажами для впечатляющих фотографий. Маршрут пролегает через Ольхонские ворота к о.Ольхон, о. Огой. Не большая по длительности экскурсия (2-3 часа) «Бухта Провал». Прогулка с интересным рассказом о появлении бухты и легендами края. Дополнительно на базе отдыха возможно взять в прокат: велосипеды, квадроциклы, гребные лодки, гидроциклы, водные лыжи, ватрушки, удочки. Для детей на территории установлены качели и манеж. Комплекс предлагает не только активный отдых, но и проведение торжественных мероприятий: свадьбы, дни рождения, корпоративные праздники, семинары и конференции. Банкетный зал, вместимостью 250 человек с видом на озеро, оснащен необходимой техникой и сценой для выступлений. До ближайшего города Улан-Удэ 158 км пути.",,,,,,,,,,,,,2800.0,,
https://101hotels.com/main/cities/kultuk/guest_house_baykalskiy_ochag.html,,75900.0,600.0,716.0,"['Интернет', 'Бар / Ресторан', 'Автостоянка / Парковка', 'Прачечная или Химчистка', 'Трансфер', 'Сауна / SPA']","Гостевой дом предлагает гостям:
Размещение в самом центре,
в 574 метрах от Ж/Д Вокзала
Бесплатная парковка
Доступен трансфер (за дополнительную плату)
Бесплатный Wi-Fi
Гарантируем лучшие цены в гостевом доме Байкальский Очаг!
Гостевой дом «Байкальский Очаг» расположен в поселке Култук на берегу озера Байкал. Для постояльцев создан великолепный гостиничный сервис, обеспечивающий уютное проживание и увлекательный отдых.
Номерной фонд располагает широким выбором спальных комнат, рассчитанных на размещение различного количества гостей. Все номера оснащены мультимедийной техникой и практичной мебелью для уютного проживания.
На территории дома размещен бар, позволяющий приобрести легкие закуски и напитки. На оборудованной необходимыми принадлежностями кухне можно самостоятельно приготовить желаемые блюда. При предварительном заказе гостям обеспечивается доставка продуктов питания.
Расстояние до международного аэропорта не превышает 76 километров. Поблизости от дома находятся причалы для водного транспорта, места для рыбной ловли, прочие объекты для активного отдыха.",,,,,9.4,9.4,9.4,9.6,10.0,9.4,,,400.0,,
https://101hotels.com/main/cities/huzhir/baikal_view_hotel.html,,153100.0,228200.0,25800.0,"['Интернет', 'Бар / Ресторан', 'Автостоянка / Парковка', 'Бассейн', 'Фен', 'Пляж', 'Прачечная или Химчистка', 'Бизнесменам', 'Трансфер', 'Сейф', 'Сауна / SPA', 'Размещение домашних животных возможно по запросу.']","База отдыха предлагает гостям:
Вкусные завтраки
Бесплатная парковка
Доступен трансфер (за дополнительную плату)
Бесплатный Wi-Fi
Рядом с отелем есть:
Краеведческий музей им. Н. М. Ревякина
Бронирование напрямую
с моментальным подтверждением
Гарантируем лучшие цены в загородном отеле Baikal View Hotel!
Отель Baikal View располагается на острове Ольхон, в 700 метрах от Байкала. В непосредственной близости находится продуктовый магазин.
Номера представлены различной категории. В каждом имеется необходимая мебель для комфортного отдыха. Из окон некоторых апартаментов открывается вид на озеро.
В ресторане по утрам накрывают завтрак пол системе ""шведский стол"".
Расстояние до ближайшего железнодорожного вокзала 228, а до аэропорта около 223 км езды.
Мы рекомендуем! Это один из самых популярных вариантов среди гостей в Хужире",,,,Краеведческий музей им. Н. М. Ревякина,9.6,9.8,9.4,9.8,10.0,9.8,,,3000.0,,
https://101hotels.com/main/cities/huzhir/olgina_usadba.html,,,,,"['Автостоянка / Парковка', 'Размещение домашних животных возможно по запросу.']","Гостевой дом предлагает гостям:
Размещение в самом центре
Бесплатная парковка
Рядом с отелем есть:
Краеведческий музей им. Н. М. Ревякина
Гарантируем лучшие цены в гостевом доме Ольгина Усадьба!
Ольгина Усадьба is situated in Khuzhir.
Each room is equipped with a terrace.
The rooms come with a private bathroom.",,,,Краеведческий музей им. Н. М. Ревякина,,,,,,,,,400.0,,
https://101hotels.com/main/cities/maksimiha/baza_otdiha_baykal-lider.html,,185100.0,177300.0,42400.0,"['Автостоянка / Парковка', 'Трансфер', 'Бильярдная', 'Бассейн', 'Бизнесменам', 'Пляж']","База отдыха предлагает гостям:
Размещение в самом центре
Есть парковка
База отдыха «Байкал-лидер» находится на берегу озера Байкал, в селе Максимиха республики Бурятия. Чистый воздух, красота и живописность местной природы, изумительные виды и величие Байкала ежегодно привлекают сюда туристов отовсюду.
Здесь можно хорошо провести выходные или отпуск, насладиться покоем, тишиной, гармонией с собой и природой, абстрагироваться от городской суеты и шума, зарядиться новыми жизненными силами и энергией, получить незабываемые впечатления и эмоции.
Размещают гостей в комфортабельных номерах, общая вместимость которых составляет до 62 человек. Вся необходимая для проживания мебель и техника присутствует, в комнатах ощущается атмосфера домашнего уюта и тепла.
Преимуществами сервиса являются: традиционная русская баня, бассейн, экскурсионное сопровождение, бильярд, настольный теннис, прокат велосипедов, аренда катамаранов, обустроенная детская площадка, массаж, конференц-зал, телевизор, поле для волейбола и баскетбола, частная парковка для автомобилей, трансфер. После прогулки на пляж можно провести уютный вечер в компании родных и друзей в беседке. Любители рыбной ловли тоже найду, чем себя порадовать. В стоимость включено домашнее трехразовое питание. Комплекс принимает своих отдыхающих только в летний период.",,,,,,,,,,,,600.0,,,
